Identifiant station;Nom de la Station;Nom de la ligne;Niveau de pollution;Recommandation de surveillance;stop_lon;stop_lat;pollution_air
IDFM:monomodalStopPlace:58875;Rueil-Malmaison;RER A;station aérienne;non;2.17236641789719;48.8876725006463;station aérienne
IDFM:monomodalStopPlace:46990;Saint-Cyr;RER C;station aérienne;non;2.07271244076548;48.7987746047183;station aérienne
IDFM:462993;Saint-Germain-des-Prés;Métro 4;FAIBLE;non;2.33398742913423;48.8536737134332;pollution faible - incertitude forte
IDFM:462971;Saint-Lazare;Métro 3;MOYENNE;non;2.3244924701708;48.8749665010344;pollution moyenne - incertitude forte
IDFM:22218;Saint-Lazare;Métro 13;FAIBLE;non;2.32548839067261;48.875381316008;pollution faible - incertitude forte
IDFM:monomodalStopPlace:47115;Saint-Martin d'Etampes;RER C;station aérienne;non;2.14525883130717;48.4274876508083;station aérienne
IDFM:monomodalStopPlace:44877;Saint-Michel Notre-Dame;RER B;FAIBLE;non;2.34495978002939;48.8530237937402;pollution faible - incertitude faible
IDFM:462915;Saint-Philippe-du-Roule;Métro 9;ELEVE;oui;2.31013720568782;48.8721551310774;pollution élevée - incertitude forte
IDFM:463308;Saint-Placide;Métro 4;FAIBLE;non;2.32705481506631;48.8470066515894;pollution faible - incertitude forte
IDFM:monomodalStopPlace:461504;Saint-Quentin en Yvelines - Montigny-le-Bretonneux;RER C;station aérienne;non;2.04461598893081;48.7874849159779;station aérienne
IDFM:monomodalStopPlace:47889;Saint-Rémy-lès-Chevreuse;RER B;station aérienne;non;2.07138574290406;48.7027326964727;station aérienne
IDFM:462992;Saint-Sulpice;Métro 4;FAIBLE;non;2.33095355065045;48.8511385895792;pollution faible - incertitude forte
IDFM:463314;Sèvres-Lecourbe;Métro 6;station aérienne;non;2.30952961043039;48.8456476826507;station aérienne
IDFM:monomodalStopPlace:47958;Survilliers - Fosses;RER D;station aérienne;non;2.5255178366967;49.0995116181157;station aérienne
IDFM:490833;Thiais - Orly (Pont de Rungis);Métro 14;pas de données;non;2.37238475112149;48.7468353693868;pas de données
IDFM:463267;Tolbiac;Métro 7;MOYENNE;non;2.35701856773816;48.8261532373434;pollution moyenne - incertitude forte
IDFM:monomodalStopPlace:43215;Vauboyen;RER C;station aérienne;non;2.1925522822775;48.7589713276285;station aérienne
IDFM:monomodalStopPlace:46222;Vert Galant;RER B;station aérienne;non;2.56639688069831;48.9440916454181;station aérienne
IDFM:22109;Victor Hugo;Métro 2;MOYENNE;oui;2.28590200062206;48.8698545716049;pollution moyenne - incertitude forte
IDFM:462988;Villiers;Métro 2;MOYENNE;non;2.31576144923934;48.8812122733784;pollution moyenne - incertitude forte
IDFM:monomodalStopPlace:43222;Villiers-le-Bel - Gonesse - Arnouville;RER D;station aérienne;non;2.41624679589731;48.9937720400517;station aérienne
IDFM:22048;Volontaires;Métro 12;MOYENNE;non;2.30798338057685;48.841411728415;pollution moyenne - incertitude forte
IDFM:monomodalStopPlace:47967;Vosves;RER D;station aérienne;non;2.59940973817953;48.5150760910028;station aérienne
IDFM:463116;Abbesses;Métro 12;FAIBLE;non;2.33839463522091;48.8843927179914;pollution faible - incertitude forte
IDFM:483900;Aimé Césaire;Métro 12;FAIBLE;non;2.37813084516706;48.9084375806695;pollution faible - incertitude forte
IDFM:monomodalStopPlace:46395;Athis-Mons;RER C;station aérienne;non;2.40366872428727;48.7126683217166;station aérienne
IDFM:22130;Barbès - Rochechouart;Métro 4;FAIBLE;non;2.349629927853;48.8834020604862;pollution faible - incertitude forte
IDFM:463019;Bastille;Métro 1;MOYENNE;non;2.36869279609979;48.8519642201121;pollution moyenne - incertitude forte
IDFM:463110;Belleville;Métro 11;MOYENNE;non;2.37668460771854;48.8719895556802;pollution moyenne - incertitude forte
IDFM:22128;Belleville;Métro 2;ELEVE;oui;2.37683069152228;48.8723140773617;pollution élevée - incertitude faible
IDFM:463130;Bérault;Métro 1;FAIBLE;non;2.42922788316603;48.8454916962671;pollution faible - incertitude forte
IDFM:monomodalStopPlace:43091;Bièvres;RER C;station aérienne;non;2.21616033967736;48.7508724376078;station aérienne
IDFM:463115;Bonne Nouvelle;Métro 8;MOYENNE;non;2.34849612254236;48.8704814458048;pollution moyenne - incertitude forte
IDFM:463136;Boulogne Pont de Saint-Cloud;Métro 10;MOYENNE;non;2.22831258982281;48.8406724820625;pollution moyenne - incertitude forte
IDFM:monomodalStopPlace:47895;Boutigny;RER D;station aérienne;non;2.37674548041813;48.4344254251342;station aérienne
IDFM:monomodalStopPlace:43098;Brétigny;RER C;station aérienne;non;2.30195738288606;48.6066490662105;station aérienne
IDFM:monomodalStopPlace:58873;Brunoy;RER D;station aérienne;non;2.50685031231137;48.6989144753069;station aérienne
IDFM:monomodalStopPlace:43103;Bures-sur-Yvette;RER B;station aérienne;non;2.16434613932693;48.6962102231454;station aérienne
IDFM:22210;Charenton - Ecoles;Métro 8;MOYENNE;non;2.41384723706853;48.8212559020495;pollution moyenne - incertitude forte
IDFM:463013;Charles de Gaulle - Etoile;Métro 1;FAIBLE;non;2.29511721382303;48.8739292644553;pollution faible - incertitude forte
IDFM:21986;Charles Michels;Métro 10;MOYENNE;non;2.28562434179957;48.8463617234825;pollution moyenne - incertitude forte
